what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117569575
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117620111
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117621815
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1360117625545
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1360117625949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360117627012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117628720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117667138
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1360117670502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360117670848
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1360117671879
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1360117677114
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360117688123
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117690980
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117712923
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360117715016
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117719648
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117719728
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1360117723453
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117732338
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117732338
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360117739324
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117743602
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117743690
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1360117744539
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1360117745026
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117746246
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.selectAll",1360117746929
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1360117747391
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360117757192
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360117771814
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117779889
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1360117780791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117780803
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117782162
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117787975
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117789158
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117789159
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117792794
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117878939
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1360117885625
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360117892833
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117906689
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1360117915381
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360117915510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117921652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117977531
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1360117982630
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textEnd",1360117988726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360117990872
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118008278
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118019811
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118054775
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1360118057018
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1360118063095
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1360118070976
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1360118081613
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360118082262
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118093285
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118116395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118124190
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118125252
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118125557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118130113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118132479
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118141023
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360118141105
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118145905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118151312
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360118153241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118158340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118162254
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360118164161
