what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115641889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115654720
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115724641
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115733035
started,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1360115865199
started,bundle,org.eclipse.wst.common.emf,1.2.3.v201012100400,"org.eclipse.wst.common.emf",1360115865390
started,bundle,org.eclipse.jem.util,2.1.3.v201012070000,"org.eclipse.jem.util",1360115865395
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.3.v201012020600,"org.eclipse.wst.common.emfworkbench.integration",1360115865395
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1360115865451
started,bundle,org.eclipse.wst.common.modulecore,1.2.5.v201101270100,"org.eclipse.wst.common.modulecore",1360115865457
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360115865511
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360115865552
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115865833
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360115880681
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360115882534
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360115882604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115887995
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115890661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360115892224
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116115378
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360116115495
opened,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116118309
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116118375
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.textStart",1360116121207
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116137347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116139636
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360116142029
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116142158
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116146285
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116155469
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116156199
closed,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116156199
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116157764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1360116161868
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116162383
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360116172023
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116176598
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116178413
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116180110
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1360116181405
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1360116184573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116195126
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1360116198613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116204448
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116205756
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116210967
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1360116213291
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116217305
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116217341
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116228735
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360116229866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116232016
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116245919
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116247675
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116249248
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116251595
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1360116253969
activated,editor,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor.MavenPomEditor",1360116254705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116256037
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1360116257744
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1360116258813
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1360116259584
